id;code;libelle;dt_ouverture;dt_cloture
1;wireless;des UIC-Franc Account;2021-06-23;2021-06-23
2;feed;Sénégal Automotive transmitting;2021-06-23;2021-06-23
3;generating connecting payment;c;2021-06-24;2021-06-24
4;solution-oriented;interface;2021-06-23;2021-06-23
5;capacitor Argentine Huchette;Producteur Hat b;2021-06-23;2021-06-24
6;haptic groupware;Euro;2021-06-23;2021-06-24
7;Fantastic silver;monetize Hat Incredible;2021-06-23;2021-06-24
8;Directeur a;Bacon driver quantifying;2021-06-24;2021-06-24
9;Balanced Chips b;ADP;2021-06-24;2021-06-24
10;background Specialiste;Avon plum alliance;2021-06-23;2021-06-24
